Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,64,15h,Good,13,15h,Good,12,15-11-2018 16:00,1542294301
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,16h,Good,34,NA,NA,NA,15-11-2018 17:00,1542297902
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,22,16h,Good,61,16h,Good,29,15-11-2018 17:00,1542297902
Barcelona - Gràcia,--,2.1534,41.3987,14h,--,NA,14h,--,NA,NA,NA,NA,15-11-2018 17:00,1542297902
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,41,16h,Good,28,NA,NA,NA,15-11-2018 17:00,1542297902
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,40,16h,Good,31,16h,Good,22,15-11-2018 17:00,1542297902
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,32,16h,Good,28,16h,Good,22,15-11-2018 17:00,1542297902
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,16h,Good,43,16h,Good,22,15-11-2018 17:00,1542297902
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,72,16h,Good,9,16h,Good,11,15-11-2018 17:00,1542297902
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,17h,Good,40,NA,NA,NA,15-11-2018 18:00,1542301502
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,8,17h,Good,80,17h,Good,29,15-11-2018 18:00,1542301502
Barcelona - Gràcia,--,2.1534,41.3987,15h,--,NA,15h,--,NA,NA,NA,NA,15-11-2018 18:00,1542301502
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,19,17h,Good,56,NA,NA,NA,15-11-2018 18:00,1542301502
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,30,17h,Good,41,17h,Good,21,15-11-2018 18:00,1542301502
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,30,17h,Good,32,17h,Good,21,15-11-2018 18:00,1542301502
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,17h,Good,66,17h,Good,21,15-11-2018 18:00,1542301502
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,72,16h,Good,9,17h,Good,10,15-11-2018 18:00,1542301502
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,18h,Good,52,NA,NA,NA,15-11-2018 18:00,1542305101
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,8,18h,Good,85,18h,Good,28,15-11-2018 18:00,1542305101
Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,17,18h,Good,72,NA,NA,NA,15-11-2018 18:00,1542305101
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,49,18h,Good,26,NA,NA,NA,15-11-2018 18:00,1542305101
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,12,18h,Good,60,18h,Good,20,15-11-2018 18:00,1542305101
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,18,18h,Good,53,18h,Good,20,15-11-2018 18:00,1542305101
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,18h,Good,45,18h,Good,21,15-11-2018 18:00,1542305101
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,72,16h,Good,9,18h,Good,10,15-11-2018 18:00,1542305101
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,19h,Good,79,NA,NA,NA,15-11-2018 20:00,1542308702
