Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,21.0,21h,Good,50.0,21h,Good,16.0,15/11/2018 22:00,1542315901
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,23.0,21h,Good,41.0,21h,Good,19.0,15/11/2018 22:00,1542315901
Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,22.0,22h,Good,52.0,22h,Good,16.0,15/11/2018 23:00,1542319502
Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,26.0,22h,Good,39.0,22h,Good,18.0,15/11/2018 23:00,1542319502
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,43.0,23h,Good,29.0,23h,Good,15.0,16/11/2018 0:00,1542323102
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,37.0,23h,Good,22.0,23h,Good,17.0,16/11/2018 0:00,1542323102
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,8.0,0h,Good,61.0,0h,Good,24.0,16/11/2018 1:00,1542326702
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,37.0,0h,Good,25.0,0h,Good,14.0,16/11/2018 1:00,1542326702
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,16.0,0h,Good,36.0,0h,Good,17.0,16/11/2018 1:00,1542326702
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,72.0,0h,Good,9.0,22h,Good,8.0,16/11/2018 1:00,1542326702
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,8.0,1h,Good,57.0,1h,Good,23.0,16/11/2018 2:00,1542330302
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,14.0,1h,Good,45.0,1h,Good,13.0,16/11/2018 2:00,1542330302
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,13.0,1h,Good,39.0,1h,Good,16.0,16/11/2018 2:00,1542330302
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,6.0,2h,Good,57.0,2h,Good,23.0,16/11/2018 3:00,1542333902
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,36.0,2h,Good,25.0,2h,Good,11.0,16/11/2018 3:00,1542333902
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,35.0,2h,Good,12.0,2h,Good,15.0,16/11/2018 3:00,1542333902
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,21.0,3h,Good,38.0,3h,Good,22.0,16/11/2018 4:00,1542337501
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,53.0,3h,Good,9.0,3h,Good,12.0,16/11/2018 4:00,1542337501
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,37.0,3h,Good,4.0,3h,Good,15.0,16/11/2018 4:00,1542337501
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,17.0,4h,Good,39.0,4h,Good,22.0,16/11/2018 5:00,1542341102
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,48.0,4h,Good,9.0,4h,Good,11.0,16/11/2018 5:00,1542341102
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,29.0,4h,Good,6.0,4h,Good,14.0,16/11/2018 5:00,1542341102
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,2.0,5h,Good,52.0,5h,Good,21.0,16/11/2018 6:00,1542344702
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,41.0,5h,Good,11.0,5h,Good,10.0,16/11/2018 6:00,1542344702
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,16.0,5h,Good,15.0,5h,Good,14.0,16/11/2018 6:00,1542344702
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,8.0,6h,Good,40.0,6h,Good,21.0,16/11/2018 7:00,1542348302
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,28.0,6h,Good,19.0,6h,Good,10.0,16/11/2018 7:00,1542348302
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,13.0,6h,Good,19.0,6h,Good,14.0,16/11/2018 7:00,1542348302
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,4.0,7h,Good,53.0,7h,Good,22.0,16/11/2018 8:00,1542351902
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,24.0,7h,Good,27.0,7h,Good,12.0,16/11/2018 8:00,1542351902
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,15.0,7h,Good,28.0,7h,Good,15.0,16/11/2018 8:00,1542351902
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,2.0,8h,Good,80.0,8h,Good,22.0,16/11/2018 9:00,1542355501
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,18.0,8h,Good,39.0,8h,Good,11.0,16/11/2018 9:00,1542355501
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,19.0,8h,Good,29.0,8h,Good,14.0,16/11/2018 9:00,1542355501
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,2.0,9h,Good,81.0,9h,Good,22.0,16/11/2018 10:00,1542359101
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,17.0,9h,Good,42.0,9h,Good,11.0,16/11/2018 10:00,1542359101
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,19.0,8h,Good,29.0,9h,Good,14.0,16/11/2018 10:00,1542359101
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,4.0,10h,Good,81.0,10h,Good,21.0,16/11/2018 11:00,1542362701
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,18.0,10h,Good,34.0,10h,Good,11.0,16/11/2018 11:00,1542362701
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,3.0,10h,Good,52.0,10h,Good,14.0,16/11/2018 11:00,1542362701
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,6.0,11h,Good,74.0,11h,Good,21.0,16/11/2018 12:00,1542366302
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,27.0,11h,Good,27.0,11h,Good,12.0,16/11/2018 12:00,1542366302
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,11.0,11h,Good,44.0,11h,Good,14.0,16/11/2018 12:00,1542366302
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,6.0,11h,Good,74.0,12h,Good,21.0,16/11/2018 13:00,1542369902
